SRS_ID,EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,CHARACTER_SETS,NULL,def,CHARACTER_SET_NAME,utf8_general_ci,<blank>,NULL,1,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,CHARACTER_SETS,NULL,def,DEFAULT_COLLATE_NAME,utf8_general_ci,<blank>,NULL,2,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(2048),NO,information_schema,select,CHARACTER_SETS,NULL,def,DESCRIPTION,utf8_general_ci,<blank>,NULL,3,NULL,utf8,NULL,<blank>,6144,2048
NULL,<blank>,int,<blank>,int unsigned,NO,information_schema,select,CHARACTER_SETS,0,def,MAXLEN,NULL,<blank>,NULL,4,10,NULL,NULL,<blank>,NULL,NULL
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_CATALOG,utf8_bin,<blank>,NULL,1,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_SCHEMA,utf8_bin,<blank>,NULL,2,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_NAME,utf8_tolower_ci,<blank>,NULL,3,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,longtext,<blank>,longtext,NO,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CHECK_CLAUSE,utf8_bin,<blank>,NULL,4,NULL,utf8,NULL,<blank>,4294967295,4294967295
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLLATIONS,NULL,def,COLLATION_NAME,utf8_general_ci,<blank>,NULL,1,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLLATIONS,NULL,def,CHARACTER_SET_NAME,utf8_general_ci,<blank>,NULL,2,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,bigint,<blank>,bigint unsigned,NO,information_schema,select,COLLATIONS,0,def,ID,NULL,<blank>,0,3,20,NULL,NULL,<blank>,NULL,NULL
NULL,<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLLATIONS,NULL,def,IS_DEFAULT,utf8_general_ci,<blank>,<blank>,4,NULL,utf8,NULL,<blank>,9,3
NULL,<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLLATIONS,NULL,def,IS_COMPILED,utf8_general_ci,<blank>,<blank>,5,NULL,utf8,NULL,<blank>,9,3
NULL,<blank>,int,<blank>,int unsigned,NO,information_schema,select,COLLATIONS,0,def,SORTLEN,NULL,<blank>,NULL,6,10,NULL,NULL,<blank>,NULL,NULL
NULL,<blank>,enum,<blank>,"enum('PAD SPACE','NO PAD')",NO,information_schema,select,COLLATIONS,NULL,def,PAD_ATTRIBUTE,utf8_bin,<blank>,NULL,7,NULL,utf8,NULL,<blank>,27,9
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,COLLATION_NAME,utf8_general_ci,<blank>,NULL,1,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,CHARACTER_SET_NAME,utf8_general_ci,<blank>,NULL,2,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,TABLE_CATALOG,utf8_bin,<blank>,NULL,1,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,TABLE_SCHEMA,utf8_bin,<blank>,NULL,2,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,TABLE_NAME,utf8_bin,<blank>,NULL,3,NULL,utf8,NULL,<blank>,192,64
NULL,<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,COLUMNS,NULL,def,COLUMN_NAME,utf8_tolower_ci,<blank>,NULL,4,NULL,utf8,NULL,<blank>,192,64
