DATA_TYPE,ROUTINE_TYPE,NUMERIC_SCALE,SPECIFIC_NAME,COLLATION_NAME,DTD_IDENTIFIER,PARAMETER_MODE,PARAMETER_NAME,SPECIFIC_SCHEMA,ORDINAL_POSITION,SPECIFIC_CATALOG,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
varchar,FUNCTION,NULL,extract_schema_from_file_name,utf8mb4_0900_ai_ci,varchar(64),NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,256,64
varchar,FUNCTION,NULL,extract_schema_from_file_name,utf8mb4_0900_ai_ci,varchar(512),IN,path,sys,1,def,NULL,utf8mb4,NULL,2048,512
varchar,FUNCTION,NULL,extract_table_from_file_name,utf8mb4_0900_ai_ci,varchar(64),NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,256,64
varchar,FUNCTION,NULL,extract_table_from_file_name,utf8mb4_0900_ai_ci,varchar(512),IN,path,sys,1,def,NULL,utf8mb4,NULL,2048,512
text,FUNCTION,NULL,format_bytes,utf8mb4_0900_ai_ci,text,NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,format_bytes,utf8mb4_0900_ai_ci,text,IN,bytes,sys,1,def,NULL,utf8mb4,NULL,65535,65535
varchar,FUNCTION,NULL,format_path,utf8mb4_0900_ai_ci,varchar(512),NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,2048,512
varchar,FUNCTION,NULL,format_path,utf8mb4_0900_ai_ci,varchar(512),IN,in_path,sys,1,def,NULL,utf8mb4,NULL,2048,512
longtext,FUNCTION,NULL,format_statement,utf8mb4_0900_ai_ci,longtext,NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,4294967295,4294967295
longtext,FUNCTION,NULL,format_statement,utf8mb4_0900_ai_ci,longtext,IN,statement,sys,1,def,NULL,utf8mb4,NULL,4294967295,4294967295
text,FUNCTION,NULL,format_time,utf8mb4_0900_ai_ci,text,NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,format_time,utf8mb4_0900_ai_ci,text,IN,picoseconds,sys,1,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_add,utf8mb4_0900_ai_ci,text,NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_add,utf8mb4_0900_ai_ci,text,IN,in_list,sys,1,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_add,utf8mb4_0900_ai_ci,text,IN,in_add_value,sys,2,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_drop,utf8mb4_0900_ai_ci,text,NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_drop,utf8mb4_0900_ai_ci,text,IN,in_list,sys,1,def,NULL,utf8mb4,NULL,65535,65535
text,FUNCTION,NULL,list_drop,utf8mb4_0900_ai_ci,text,IN,in_drop_value,sys,2,def,NULL,utf8mb4,NULL,65535,65535
enum,FUNCTION,NULL,ps_is_account_enabled,utf8mb4_0900_ai_ci,"enum('YES','NO')",NULL,NULL,sys,0,def,NULL,utf8mb4,NULL,12,3
